N,pTrue,eps,pEst,absErr,totalQueryNum,maxDepth
8,0.649604767,0.005524272,0.65494987,0.005345103,164483,181
8,0.649604767,0.002762136,0.651780803,0.002176036,331061,362
8,0.649604767,0.001381068,0.649036779,0.000567989,662748,724
8,0.649604767,0.005524272,0.652930918,0.003326151,163629,181
8,0.649604767,0.002762136,0.647361611,0.002243156,328991,362
8,0.649604767,0.001381068,0.649261801,0.000342966,662064,724
8,0.649604767,0.005524272,0.650780703,0.001175936,164209,181
8,0.649604767,0.002762136,0.649518077,8.67E-05,331455,362
8,0.649604767,0.001381068,0.649543079,6.17E-05,660455,724
8,0.649604767,0.005524272,0.658956521,0.009351753,163897,181
8,0.649604767,0.002762136,0.647186594,0.002418174,330627,362
8,0.649604767,0.001381068,0.65114949,0.001544723,665075,724
8,0.649604767,0.005524272,0.654499825,0.004895058,164286,181
8,0.649604767,0.002762136,0.649505576,9.92E-05,329819,362
8,0.649604767,0.001381068,0.650055631,0.000450863,662415,723
8,0.649604767,0.005524272,0.654231048,0.004626281,163393,181
8,0.649604767,0.002762136,0.652730898,0.003126131,328455,362
8,0.649604767,0.001381068,0.649180543,0.000424224,661783,724
8,0.649604767,0.005524272,0.648736749,0.000868019,163621,181
8,0.649604767,0.002762136,0.653718497,0.004113729,331769,362
8,0.649604767,0.001381068,0.648918017,0.000686751,664258,724
8,0.649604767,0.005524272,0.646630288,0.002974479,164423,181
8,0.649604767,0.002762136,0.650780703,0.001175936,327662,362
8,0.649604767,0.001381068,0.648993024,0.000611743,664822,724
8,0.649604767,0.005524272,0.640373412,0.009231355,164066,181
8,0.649604767,0.002762136,0.647899165,0.001705603,329806,362
8,0.649604767,0.001381068,0.649761851,0.000157084,664565,724
8,0.649605,0.002762136,0.652218,0.002614,330311,362
8,0.649605,0.001381068,0.649093,0.000512,661349,724
8,0.649605,0.000691,0.650093,0.000488,1319263,1447
8,0.649605,0.000345,0.649224,0.00038,2663131,2895
8,0.649605,0.000173,0.649524,0.00008,5303108,5781
8,0.6496047674199278,0.005524272,0.6490617811781179,0.0005429862418099285,163720,181
